Cuota_Inicial__c,Presupuesto_inmueble_a_comprar__c,ingresos_totales__c,Ingresos_familiares__c,Calidad_de_lead__c,picklist_ciudad__c
7000000.0,300000000.0,5000000.0,5000000.0,-1,1
2000000.0,200000000.0,2800000.0,2800000.0,-1,1
4000000.0,248830676.0987842,1000000.0,1000000.0,-1,1
1000000.0,18000000.0,1800000.0,1800000.0,-1,1
0.0,170000000.0,3000000.0,3000000.0,-1,1
5000000.0,180000000.0,3000000.0,3000000.0,-1,1
20000000.0,210000000.0,3000000.0,3000000.0,-1,1
20000000.0,120000000.0,5000000.0,5000000.0,1,1
25000000.0,220000000.0,5000000.0,5000000.0,-1,1
0.0,500000000.0,18000000.0,18000000.0,-1,1
24000000.0,150000000.0,4700000.0,4700000.0,0,1
20000000.0,248830676.0987842,6000000.0,6000000.0,-1,1
20000000.0,200000000.0,6000000.0,6000000.0,-1,1
0.0,0.0,1940606.0,1940606.0,-1,1
0.0,250000000.0,1450000.0,1450000.0,-1,1
40000000.0,300000000.0,7000000.0,7000000.0,-1,1
5000000.0,150000000.0,2500000.0,2500000.0,-1,0
10000000.0,400000000.0,5500000.0,5500000.0,-1,1
3000000.0,200000000.0,1600000.0,1600000.0,-1,1
30000000.0,200000000.0,10000000.0,10000000.0,0,1
25000000.0,160000000.0,2000000.0,2000000.0,-1,1
45000000.0,250000000.0,4000000.0,4000000.0,-1,1
5000000.0,100000000.0,1500000.0,1500000.0,-1,0
12000000.0,80000000.0,2400000.0,2400000.0,-1,0
10000000.0,400000000.0,9000000.0,9000000.0,-1,1
5000000.0,120000000.0,2800000.0,2800000.0,-1,0
1000000.0,500.0,1000000.0,1000000.0,-1,1
40000000.0,500000000.0,18000000.0,18000000.0,-1,1
0.0,90000000.0,1160000.0,1160000.0,-1,1
30000000.0,350000000.0,5100000.0,5100000.0,-1,1
10000000.0,250000000.0,1700000.0,1700000.0,-1,1
20000000.0,248830676.0987842,2700000.0,2700000.0,-1,1
1000000.0,248830676.0987842,1300000.0,1300000.0,-1,1
